SUCCESS	0x00000000
THREAD_NAMING_EXCEPTION	0x406d1388
GUARD_PAGE_VIOLATION	0x80000001
DATATYPE_MISALIGNMENT	0x80000002
BREAKPOINT	0x80000003
SINGLE_STEP	0x80000004
BUFFER_OVERFLOW	0x80000005
NO_MORE_FILES	0x80000006
WAKE_SYSTEM_DEBUGGER	0x80000007
HANDLES_CLOSED	0x8000000a
NO_INHERITANCE	0x8000000b
GUID_SUBSTITUTION_MADE	0x8000000c
PARTIAL_COPY	0x8000000d
DEVICE_PAPER_EMPTY	0x8000000e
DEVICE_POWERED_OFF	0x8000000f
DEVICE_OFF_LINE	0x80000010
DEVICE_BUSY	0x80000011
NO_MORE_EAS	0x80000012
INVALID_EA_NAME	0x80000013
EA_LIST_INCONSISTENT	0x80000014
INVALID_EA_FLAG	0x80000015
VERIFY_REQUIRED	0x80000016
EXTRANEOUS_INFORMATION	0x80000017
RXACT_COMMIT_NECESSARY	0x80000018
NO_MORE_ENTRIES	0x8000001a
FILEMARK_DETECTED	0x8000001b
MEDIA_CHANGED	0x8000001c
BUS_RESET	0x8000001d
END_OF_MEDIA	0x8000001e
BEGINNING_OF_MEDIA	0x8000001f
MEDIA_CHECK	0x80000020
SETMARK_DETECTED	0x80000021
NO_DATA_DETECTED	0x80000022
REDIRECTOR_HAS_OPEN_HANDLES	0x80000023
SERVER_HAS_OPEN_HANDLES	0x80000024
ALREADY_DISCONNECTED	0x80000025
LONGJUMP	0x80000026
CLEANER_CARTRIDGE_INSTALLED	0x80000027
PLUGPLAY_QUERY_VETOED	0x80000028
UNWIND_CONSOLIDATE	0x80000029
REGISTRY_HIVE_RECOVERED	0x8000002a
DLL_MIGHT_BE_INSECURE	0x8000002b
DLL_MIGHT_BE_INCOMPATIBLE	0x8000002c
STOPPED_ON_SYMLINK	0x8000002d
DEVICE_REQUIRES_CLEANING	0x80000288
DEVICE_DOOR_OPEN	0x80000289
DATA_LOST_REPAIR	0x80000803
EXCEPTION_NOT_HANDLED	0x80010001
CLUSTER_NODE_ALREADY_UP	0x80130001
CLUSTER_NODE_ALREADY_DOWN	0x80130002
CLUSTER_NETWORK_ALREADY_ONLINE	0x80130003
CLUSTER_NETWORK_ALREADY_OFFLINE	0x80130004
CLUSTER_NODE_ALREADY_MEMBER	0x80130005
COULD_NOT_RESIZE_LOG	0x80190009
NO_TXF_METADATA	0x80190029
CANT_RECOVER_WITH_HANDLE_OPEN	0x80190031
TXF_METADATA_ALREADY_PRESENT	0x80190041
TRANSACTION_SCOPE_CALLBACKS_NOT_SET	0x80190042
VIDEO_HUNG_DISPLAY_DRIVER_THREAD_RECOVERED	0x801b00eb
FLT_BUFFER_TOO_SMALL	0x801c0001
FVE_PARTIAL_METADATA	0x80210001
FVE_TRANSIENT_STATE	0x80210002
UNSUCCESSFUL	0xc0000001
NOT_IMPLEMENTED	0xc0000002
INVALID_INFO_CLASS	0xc0000003
INFO_LENGTH_MISMATCH	0xc0000004
ACCESS_VIOLATION	0xc0000005
IN_PAGE_ERROR	0xc0000006
PAGEFILE_QUOTA	0xc0000007
INVALID_HANDLE	0xc0000008
BAD_INITIAL_STACK	0xc0000009
BAD_INITIAL_PC	0xc000000a
INVALID_CID	0xc000000b
TIMER_NOT_CANCELED	0xc000000c
INVALID_PARAMETER	0xc000000d
NO_SUCH_DEVICE	0xc000000e
NO_SUCH_FILE	0xc000000f
INVALID_DEVICE_REQUEST	0xc0000010
END_OF_FILE	0xc0000011
WRONG_VOLUME	0xc0000012
NO_MEDIA_IN_DEVICE	0xc0000013
UNRECOGNIZED_MEDIA	0xc0000014
NONEXISTENT_SECTOR	0xc0000015
MORE_PROCESSING_REQUIRED	0xc0000016
NO_MEMORY	0xc0000017
CONFLICTING_ADDRESSES	0xc0000018
NOT_MAPPED_VIEW	0xc0000019
UNABLE_TO_FREE_VM	0xc000001a
UNABLE_TO_DELETE_SECTION	0xc000001b
INVALID_SYSTEM_SERVICE	0xc000001c
ILLEGAL_INSTRUCTION	0xc000001d
INVALID_LOCK_SEQUENCE	0xc000001e
INVALID_VIEW_SIZE	0xc000001f
INVALID_FILE_FOR_SECTION	0xc0000020
ALREADY_COMMITTED	0xc0000021
ACCESS_DENIED	0xc0000022
BUFFER_TOO_SMALL	0xc0000023
OBJECT_TYPE_MISMATCH	0xc0000024
NONCONTINUABLE_EXCEPTION	0xc0000025
INVALID_DISPOSITION	0xc0000026
UNWIND	0xc0000027
BAD_STACK	0xc0000028
INVALID_UNWIND_TARGET	0xc0000029
NOT_LOCKED	0xc000002a
PARITY_ERROR	0xc000002b
UNABLE_TO_DECOMMIT_VM	0xc000002c
NOT_COMMITTED	0xc000002d
INVALID_PORT_ATTRIBUTES	0xc000002e
PORT_MESSAGE_TOO_LONG	0xc000002f
INVALID_PARAMETER_MIX	0xc0000030
INVALID_QUOTA_LOWER	0xc0000031
DISK_CORRUPT_ERROR	0xc0000032
OBJECT_NAME_INVALID	0xc0000033
OBJECT_NAME_NOT_FOUND	0xc0000034
OBJECT_NAME_COLLISION	0xc0000035
PORT_DISCONNECTED	0xc0000037
DEVICE_ALREADY_ATTACHED	0xc0000038
OBJECT_PATH_INVALID	0xc0000039
OBJECT_PATH_NOT_FOUND	0xc000003a
OBJECT_PATH_SYNTAX_BAD	0xc000003b
DATA_OVERRUN	0xc000003c
DATA_LATE_ERROR	0xc000003d
DATA_ERROR	0xc000003e
CRC_ERROR	0xc000003f
SECTION_TOO_BIG	0xc0000040
PORT_CONNECTION_REFUSED	0xc0000041
INVALID_PORT_HANDLE	0xc0000042
SHARING_VIOLATION	0xc0000043
QUOTA_EXCEEDED	0xc0000044
INVALID_PAGE_PROTECTION	0xc0000045
MUTANT_NOT_OWNED	0xc0000046
SEMAPHORE_LIMIT_EXCEEDED	0xc0000047
PORT_ALREADY_SET	0xc0000048
SECTION_NOT_IMAGE	0xc0000049
SUSPEND_COUNT_EXCEEDED	0xc000004a
THREAD_IS_TERMINATING	0xc000004b
BAD_WORKING_SET_LIMIT	0xc000004c
INCOMPATIBLE_FILE_MAP	0xc000004d
SECTION_PROTECTION	0xc000004e
EAS_NOT_SUPPORTED	0xc000004f
EA_TOO_LARGE	0xc0000050
NONEXISTENT_EA_ENTRY	0xc0000051
NO_EAS_ON_FILE	0xc0000052
EA_CORRUPT_ERROR	0xc0000053
FILE_LOCK_CONFLICT	0xc0000054
LOCK_NOT_GRANTED	0xc0000055
DELETE_PENDING	0xc0000056
CTL_FILE_NOT_SUPPORTED	0xc0000057
UNKNOWN_REVISION	0xc0000058
REVISION_MISMATCH	0xc0000059
INVALID_OWNER	0xc000005a
INVALID_PRIMARY_GROUP	0xc000005b
NO_IMPERSONATION_TOKEN	0xc000005c
CANT_DISABLE_MANDATORY	0xc000005d
NO_LOGON_SERVERS	0xc000005e
NO_SUCH_LOGON_SESSION	0xc000005f
NO_SUCH_PRIVILEGE	0xc0000060
PRIVILEGE_NOT_HELD	0xc0000061
INVALID_ACCOUNT_NAME	0xc0000062
USER_EXISTS	0xc0000063
NO_SUCH_USER	0xc0000064
GROUP_EXISTS	0xc0000065
NO_SUCH_GROUP	0xc0000066
MEMBER_IN_GROUP	0xc0000067
MEMBER_NOT_IN_GROUP	0xc0000068
LAST_ADMIN	0xc0000069
WRONG_PASSWORD	0xc000006a
ILL_FORMED_PASSWORD	0xc000006b
PASSWORD_RESTRICTION	0xc000006c
LOGON_FAILURE	0xc000006d
ACCOUNT_RESTRICTION	0xc000006e
INVALID_LOGON_HOURS	0xc000006f
INVALID_WORKSTATION	0xc0000070
PASSWORD_EXPIRED	0xc0000071
ACCOUNT_DISABLED	0xc0000072
NONE_MAPPED	0xc0000073
TOO_MANY_LUIDS_REQUESTED	0xc0000074
LUIDS_EXHAUSTED	0xc0000075
INVALID_SUB_AUTHORITY	0xc0000076
INVALID_ACL	0xc0000077
INVALID_SID	0xc0000078
INVALID_SECURITY_DESCR	0xc0000079
PROCEDURE_NOT_FOUND	0xc000007a
INVALID_IMAGE_FORMAT	0xc000007b
NO_TOKEN	0xc000007c
BAD_INHERITANCE_ACL	0xc000007d
RANGE_NOT_LOCKED	0xc000007e
DISK_FULL	0xc000007f
SERVER_DISABLED	0xc0000080
SERVER_NOT_DISABLED	0xc0000081
TOO_MANY_GUIDS_REQUESTED	0xc0000082
GUIDS_EXHAUSTED	0xc0000083
INVALID_ID_AUTHORITY	0xc0000084
AGENTS_EXHAUSTED	0xc0000085
INVALID_VOLUME_LABEL	0xc0000086
SECTION_NOT_EXTENDED	0xc0000087
NOT_MAPPED_DATA	0xc0000088
RESOURCE_DATA_NOT_FOUND	0xc0000089
RESOURCE_TYPE_NOT_FOUND	0xc000008a
RESOURCE_NAME_NOT_FOUND	0xc000008b
ARRAY_BOUNDS_EXCEEDED	0xc000008c
FLOAT_DENORMAL_OPERAND	0xc000008d
FLOAT_DIVIDE_BY_ZERO	0xc000008e
FLOAT_INEXACT_RESULT	0xc000008f
FLOAT_INVALID_OPERATION	0xc0000090
FLOAT_OVERFLOW	0xc0000091
FLOAT_STACK_CHECK	0xc0000092
FLOAT_UNDERFLOW	0xc0000093
INTEGER_DIVIDE_BY_ZERO	0xc0000094
INTEGER_OVERFLOW	0xc0000095
PRIVILEGED_INSTRUCTION	0xc0000096
TOO_MANY_PAGING_FILES	0xc0000097
FILE_INVALID	0xc0000098
ALLOTTED_SPACE_EXCEEDED	0xc0000099
INSUFFICIENT_RESOURCES	0xc000009a
DFS_EXIT_PATH_FOUND	0xc000009b
DEVICE_DATA_ERROR	0xc000009c
DEVICE_NOT_CONNECTED	0xc000009d
DEVICE_POWER_FAILURE	0xc000009e
FREE_VM_NOT_AT_BASE	0xc000009f
MEMORY_NOT_ALLOCATED	0xc00000a0
WORKING_SET_QUOTA	0xc00000a1
MEDIA_WRITE_PROTECTED	0xc00000a2
DEVICE_NOT_READY	0xc00000a3
INVALID_GROUP_ATTRIBUTES	0xc00000a4
BAD_IMPERSONATION_LEVEL	0xc00000a5
CANT_OPEN_ANONYMOUS	0xc00000a6
BAD_VALIDATION_CLASS	0xc00000a7
BAD_TOKEN_TYPE	0xc00000a8
BAD_MASTER_BOOT_RECORD	0xc00000a9
INSTRUCTION_MISALIGNMENT	0xc00000aa
INSTANCE_NOT_AVAILABLE	0xc00000ab
PIPE_NOT_AVAILABLE	0xc00000ac
INVALID_PIPE_STATE	0xc00000ad
PIPE_BUSY	0xc00000ae
ILLEGAL_FUNCTION	0xc00000af
PIPE_DISCONNECTED	0xc00000b0
PIPE_CLOSING	0xc00000b1
PIPE_CONNECTED	0xc00000b2
PIPE_LISTENING	0xc00000b3
INVALID_READ_MODE	0xc00000b4
IO_TIMEOUT	0xc00000b5
FILE_FORCED_CLOSED	0xc00000b6
PROFILING_NOT_STARTED	0xc00000b7
PROFILING_NOT_STOPPED	0xc00000b8
COULD_NOT_INTERPRET	0xc00000b9
FILE_IS_A_DIRECTORY	0xc00000ba
NOT_SUPPORTED	0xc00000bb
REMOTE_NOT_LISTENING	0xc00000bc
DUPLICATE_NAME	0xc00000bd
BAD_NETWORK_PATH	0xc00000be
NETWORK_BUSY	0xc00000bf
DEVICE_DOES_NOT_EXIST	0xc00000c0
TOO_MANY_COMMANDS	0xc00000c1
ADAPTER_HARDWARE_ERROR	0xc00000c2
INVALID_NETWORK_RESPONSE	0xc00000c3
UNEXPECTED_NETWORK_ERROR	0xc00000c4
BAD_REMOTE_ADAPTER	0xc00000c5
PRINT_QUEUE_FULL	0xc00000c6
NO_SPOOL_SPACE	0xc00000c7
PRINT_CANCELLED	0xc00000c8
NETWORK_NAME_DELETED	0xc00000c9
NETWORK_ACCESS_DENIED	0xc00000ca
BAD_DEVICE_TYPE	0xc00000cb
BAD_NETWORK_NAME	0xc00000cc
TOO_MANY_NAMES	0xc00000cd
TOO_MANY_SESSIONS	0xc00000ce
SHARING_PAUSED	0xc00000cf
REQUEST_NOT_ACCEPTED	0xc00000d0
REDIRECTOR_PAUSED	0xc00000d1
NET_WRITE_FAULT	0xc00000d2
PROFILING_AT_LIMIT	0xc00000d3
NOT_SAME_DEVICE	0xc00000d4
FILE_RENAMED	0xc00000d5
VIRTUAL_CIRCUIT_CLOSED	0xc00000d6
NO_SECURITY_ON_OBJECT	0xc00000d7
CANT_WAIT	0xc00000d8
PIPE_EMPTY	0xc00000d9
CANT_ACCESS_DOMAIN_INFO	0xc00000da
CANT_TERMINATE_SELF	0xc00000db
INVALID_SERVER_STATE	0xc00000dc
INVALID_DOMAIN_STATE	0xc00000dd
INVALID_DOMAIN_ROLE	0xc00000de
NO_SUCH_DOMAIN	0xc00000df
DOMAIN_EXISTS	0xc00000e0
DOMAIN_LIMIT_EXCEEDED	0xc00000e1
OPLOCK_NOT_GRANTED	0xc00000e2
INVALID_OPLOCK_PROTOCOL	0xc00000e3
INTERNAL_DB_CORRUPTION	0xc00000e4
INTERNAL_ERROR	0xc00000e5
GENERIC_NOT_MAPPED	0xc00000e6
BAD_DESCRIPTOR_FORMAT	0xc00000e7
INVALID_USER_BUFFER	0xc00000e8
UNEXPECTED_IO_ERROR	0xc00000e9
UNEXPECTED_MM_CREATE_ERR	0xc00000ea
UNEXPECTED_MM_MAP_ERROR	0xc00000eb
UNEXPECTED_MM_EXTEND_ERR	0xc00000ec
NOT_LOGON_PROCESS	0xc00000ed
LOGON_SESSION_EXISTS	0xc00000ee
INVALID_PARAMETER_1	0xc00000ef
INVALID_PARAMETER_2	0xc00000f0
INVALID_PARAMETER_3	0xc00000f1
INVALID_PARAMETER_4	0xc00000f2
INVALID_PARAMETER_5	0xc00000f3
INVALID_PARAMETER_6	0xc00000f4
INVALID_PARAMETER_7	0xc00000f5
INVALID_PARAMETER_8	0xc00000f6
INVALID_PARAMETER_9	0xc00000f7
INVALID_PARAMETER_10	0xc00000f8
INVALID_PARAMETER_11	0xc00000f9
INVALID_PARAMETER_12	0xc00000fa
REDIRECTOR_NOT_STARTED	0xc00000fb
REDIRECTOR_STARTED	0xc00000fc
STACK_OVERFLOW	0xc00000fd
NO_SUCH_PACKAGE	0xc00000fe
BAD_FUNCTION_TABLE	0xc00000ff
VARIABLE_NOT_FOUND	0xc0000100
DIRECTORY_NOT_EMPTY	0xc0000101
FILE_CORRUPT_ERROR	0xc0000102
NOT_A_DIRECTORY	0xc0000103
BAD_LOGON_SESSION_STATE	0xc0000104
LOGON_SESSION_COLLISION	0xc0000105
NAME_TOO_LONG	0xc0000106
FILES_OPEN	0xc0000107
CONNECTION_IN_USE	0xc0000108
MESSAGE_NOT_FOUND	0xc0000109
PROCESS_IS_TERMINATING	0xc000010a
INVALID_LOGON_TYPE	0xc000010b
NO_GUID_TRANSLATION	0xc000010c
CANNOT_IMPERSONATE	0xc000010d
IMAGE_ALREADY_LOADED	0xc000010e
ABIOS_NOT_PRESENT	0xc000010f
ABIOS_LID_NOT_EXIST	0xc0000110
ABIOS_LID_ALREADY_OWNED	0xc0000111
ABIOS_NOT_LID_OWNER	0xc0000112
ABIOS_INVALID_COMMAND	0xc0000113
ABIOS_INVALID_LID	0xc0000114
ABIOS_SELECTOR_NOT_AVAILABLE	0xc0000115
ABIOS_INVALID_SELECTOR	0xc0000116
NO_LDT	0xc0000117
INVALID_LDT_SIZE	0xc0000118
INVALID_LDT_OFFSET	0xc0000119
INVALID_LDT_DESCRIPTOR	0xc000011a
INVALID_IMAGE_NE_FORMAT	0xc000011b
RXACT_INVALID_STATE	0xc000011c
RXACT_COMMIT_FAILURE	0xc000011d
MAPPED_FILE_SIZE_ZERO	0xc000011e
TOO_MANY_OPENED_FILES	0xc000011f
CANCELLED	0xc0000120
CANNOT_DELETE	0xc0000121
INVALID_COMPUTER_NAME	0xc0000122
FILE_DELETED	0xc0000123
SPECIAL_ACCOUNT	0xc0000124
SPECIAL_GROUP	0xc0000125
SPECIAL_USER	0xc0000126
MEMBERS_PRIMARY_GROUP	0xc0000127
FILE_CLOSED	0xc0000128
TOO_MANY_THREADS	0xc0000129
THREAD_NOT_IN_PROCESS	0xc000012a
TOKEN_ALREADY_IN_USE	0xc000012b
PAGEFILE_QUOTA_EXCEEDED	0xc000012c
COMMITMENT_LIMIT	0xc000012d
INVALID_IMAGE_LE_FORMAT	0xc000012e
INVALID_IMAGE_NOT_MZ	0xc000012f
INVALID_IMAGE_PROTECT	0xc0000130
INVALID_IMAGE_WIN_16	0xc0000131
LOGON_SERVER_CONFLICT	0xc0000132
TIME_DIFFERENCE_AT_DC	0xc0000133
SYNCHRONIZATION_REQUIRED	0xc0000134
DLL_NOT_FOUND	0xc0000135
OPEN_FAILED	0xc0000136
IO_PRIVILEGE_FAILED	0xc0000137
ORDINAL_NOT_FOUND	0xc0000138
ENTRYPOINT_NOT_FOUND	0xc0000139
CONTROL_C_EXIT	0xc000013a
LOCAL_DISCONNECT	0xc000013b
REMOTE_DISCONNECT	0xc000013c
REMOTE_RESOURCES	0xc000013d
LINK_FAILED	0xc000013e
LINK_TIMEOUT	0xc000013f
INVALID_CONNECTION	0xc0000140
INVALID_ADDRESS	0xc0000141
DLL_INIT_FAILED	0xc0000142
MISSING_SYSTEMFILE	0xc0000143
UNHANDLED_EXCEPTION	0xc0000144
APP_INIT_FAILURE	0xc0000145
PAGEFILE_CREATE_FAILED	0xc0000146
NO_PAGEFILE	0xc0000147
INVALID_LEVEL	0xc0000148
WRONG_PASSWORD_CORE	0xc0000149
ILLEGAL_FLOAT_CONTEXT	0xc000014a
PIPE_BROKEN	0xc000014b
REGISTRY_CORRUPT	0xc000014c
REGISTRY_IO_FAILED	0xc000014d
NO_EVENT_PAIR	0xc000014e
UNRECOGNIZED_VOLUME	0xc000014f
SERIAL_NO_DEVICE_INITED	0xc0000150
NO_SUCH_ALIAS	0xc0000151
MEMBER_NOT_IN_ALIAS	0xc0000152
MEMBER_IN_ALIAS	0xc0000153
ALIAS_EXISTS	0xc0000154
LOGON_NOT_GRANTED	0xc0000155
TOO_MANY_SECRETS	0xc0000156
SECRET_TOO_LONG	0xc0000157
INTERNAL_DB_ERROR	0xc0000158
FULLSCREEN_MODE	0xc0000159
TOO_MANY_CONTEXT_IDS	0xc000015a
LOGON_TYPE_NOT_GRANTED	0xc000015b
NOT_REGISTRY_FILE	0xc000015c
NT_CROSS_ENCRYPTION_REQUIRED	0xc000015d
DOMAIN_CTRLR_CONFIG_ERROR	0xc000015e
FT_MISSING_MEMBER	0xc000015f
ILL_FORMED_SERVICE_ENTRY	0xc0000160
ILLEGAL_CHARACTER	0xc0000161
UNMAPPABLE_CHARACTER	0xc0000162
UNDEFINED_CHARACTER	0xc0000163
FLOPPY_VOLUME	0xc0000164
FLOPPY_ID_MARK_NOT_FOUND	0xc0000165
FLOPPY_WRONG_CYLINDER	0xc0000166
FLOPPY_UNKNOWN_ERROR	0xc0000167
FLOPPY_BAD_REGISTERS	0xc0000168
DISK_RECALIBRATE_FAILED	0xc0000169
DISK_OPERATION_FAILED	0xc000016a
DISK_RESET_FAILED	0xc000016b
SHARED_IRQ_BUSY	0xc000016c
FT_ORPHANING	0xc000016d
BIOS_FAILED_TO_CONNECT_INTERRUPT	0xc000016e
PARTITION_FAILURE	0xc0000172
INVALID_BLOCK_LENGTH	0xc0000173
DEVICE_NOT_PARTITIONED	0xc0000174
UNABLE_TO_LOCK_MEDIA	0xc0000175
UNABLE_TO_UNLOAD_MEDIA	0xc0000176
EOM_OVERFLOW	0xc0000177
NO_MEDIA	0xc0000178
NO_SUCH_MEMBER	0xc000017a
INVALID_MEMBER	0xc000017b
KEY_DELETED	0xc000017c
NO_LOG_SPACE	0xc000017d
TOO_MANY_SIDS	0xc000017e
LM_CROSS_ENCRYPTION_REQUIRED	0xc000017f
KEY_HAS_CHILDREN	0xc0000180
CHILD_MUST_BE_VOLATILE	0xc0000181
DEVICE_CONFIGURATION_ERROR	0xc0000182
DRIVER_INTERNAL_ERROR	0xc0000183
INVALID_DEVICE_STATE	0xc0000184
IO_DEVICE_ERROR	0xc0000185
DEVICE_PROTOCOL_ERROR	0xc0000186
BACKUP_CONTROLLER	0xc0000187
LOG_FILE_FULL	0xc0000188
TOO_LATE	0xc0000189
NO_TRUST_LSA_SECRET	0xc000018a
NO_TRUST_SAM_ACCOUNT	0xc000018b
TRUSTED_DOMAIN_FAILURE	0xc000018c
TRUSTED_RELATIONSHIP_FAILURE	0xc000018d
EVENTLOG_FILE_CORRUPT	0xc000018e
EVENTLOG_CANT_START	0xc000018f
TRUST_FAILURE	0xc0000190
MUTANT_LIMIT_EXCEEDED	0xc0000191
NETLOGON_NOT_STARTED	0xc0000192
ACCOUNT_EXPIRED	0xc0000193
POSSIBLE_DEADLOCK	0xc0000194
NETWORK_CREDENTIAL_CONFLICT	0xc0000195
REMOTE_SESSION_LIMIT	0xc0000196
EVENTLOG_FILE_CHANGED	0xc0000197
NOLOGON_INTERDOMAIN_TRUST_ACCOUNT	0xc0000198
NOLOGON_WORKSTATION_TRUST_ACCOUNT	0xc0000199
NOLOGON_SERVER_TRUST_ACCOUNT	0xc000019a
DOMAIN_TRUST_INCONSISTENT	0xc000019b
FS_DRIVER_REQUIRED	0xc000019c
IMAGE_ALREADY_LOADED_AS_DLL	0xc000019d
INCOMPATIBLE_WITH_GLOBAL_SHORT_NAME_REGISTRY_SETTING	0xc000019e
SHORT_NAMES_NOT_ENABLED_ON_VOLUME	0xc000019f
SECURITY_STREAM_IS_INCONSISTENT	0xc00001a0
INVALID_LOCK_RANGE	0xc00001a1
INVALID_ACE_CONDITION	0xc00001a2
IMAGE_SUBSYSTEM_NOT_PRESENT	0xc00001a3
NOTIFICATION_GUID_ALREADY_DEFINED	0xc00001a4
NETWORK_OPEN_RESTRICTION	0xc0000201
